VIN,YEAR,MAKE,Model,Body,Trim,ModelNumber,Doors,ExteriorColor,InteriorColor,EngineCylinders,EngineDisplacement,Transmission,Miles,SellingPrice,MSRP,BookValue,Invoice,DateInStock,Description,DealerZip,Ext_Color_Generic,Int_Color_Generic,Int_Upholstery,Engine_Block_Type,Engine_Aspiration_Type,Engine_Description,Transmission_Speed,Transmission_Description,Drivetrain,Fuel_Type,CityMPG,HighwayMPG,PassengerCapacity,ExtColorHexCode,EngineDisplacementCubicInches
SCA664S5XDUX52111,2013,Rolls-Royce,Ghost,4dr Car,,,4,,,12,6.6L,Automatic,8,304680,304680,0,277223,41346,,91105,,,,V,Direct Injection,Turbocharged Gas V12 6.6L/402,8,8-Speed Automatic,RWD,Gasoline Fuel,13,20,5,,402
SCA664S57DUX51899,2013,Rolls-Royce,Ghost,4dr Car,,,4,,,12,6.6L,Automatic,7,300415,300415,0,273363,41249,,91105,,,,V,Direct Injection,Turbocharged Gas V12 6.6L/402,8,8-Speed Automatic,RWD,Gasoline Fuel,13,20,5,,402
SCA664S54DUX51939,2013,Rolls-Royce,Ghost,4dr Car,,,4,,,12,6.6L,Automatic,7,298340,298340,0,271484,41254,,91105,,,,V,Direct Injection,Turbocharged Gas V12 6.6L/402,8,8-Speed Automatic,RWD,Gasoline Fuel,13,20,5,,402
2C3CCAFJ0CH801087,2012,Chrysler,300,4dr Car,SRT8,LXCX48,4,Gloss Black,Black,8,6.4L,Automatic,7,58175,58175,54129,55677,40974,,77037,Black,Black,,V,Electronic Fuel Injection,Gas V8 6.4L/392,5,5-Speed Automatic w/manual shift,RWD,Gasoline Fuel,14,23,5,0,392
2C3CCAFJ1CH801681,2012,Chrysler,300,4dr Car,SRT8,LXCX48,4,Gloss Black,Black,8,6.4L,Automatic,16,58175,58175,54541,55677,41044,,77037,Black,Black,,V,Electronic Fuel Injection,Gas V8 6.4L/392,5,5-Speed Automatic w/manual shift,RWD,Gasoline Fuel,14,23,5,0,392
2C3CDYCJ2DH650880,2013,Dodge,Challenger,2dr Car,SRT8,LCDX22,2,Redline (3) Coat Pearl,Dark Slate Gray Interior,8,6.4L,Automatic,13,51595,51595,48238,49536,41345,,77037,Red,Gray,,V,Electronic Fuel Injection,Gas V8 6.4L/392,5,5-Speed Automatic,RWD,Gasoline Fuel,14,23,5,B9010F,392
2C3CDYCJ6DH650879,2013,Dodge,Challenger,2dr Car,SRT8,LCDX22,2,Redline (3) Coat Pearl,Dark Slate Gray Interior,8,6.4L,Automatic,13,51595,51595,48532,49536,41349,,77037,Red,Gray,,V,Electronic Fuel Injection,Gas V8 6.4L/392,5,5-Speed Automatic,RWD,Gasoline Fuel,14,23,5,B9010F,392
2C3CDYCJ6DH614559,2013,Dodge,Challenger,2dr Car,SRT8,LCDX22,2,Bright White,Dark Slate Gray Interior,8,6.4L,Automatic,11,52710,52710,49105,50536,41379,,77037,White,Gray,,V,Electronic Fuel Injection,Gas V8 6.4L/392,5,5-Speed Automatic,RWD,Gasoline Fuel,14,23,5,FFFFFF,392
2C3CDXEJ3DH687105,2013,Dodge,Charger,4dr Car,SRT8,LDDX48,4,Bright White,,8,6.4L,Automatic,0,52570,52570,51122,50447,41382,,77037,White,,,V,Electronic Fuel Injection,Gas V8 6.4L/392,5,5-Speed Automatic,RWD,Gasoline Fuel,14,23,5,FFFFFF,392
2C3CDYCJ2DH614560,2013,Dodge,Challenger,2dr Car,SRT8,LCDX22,2,Black,Dark Slate Gray Interior,8,6.4L,Automatic,9,52710,52710,49081,50536,41386,,77037,Black,Gray,,V,Electronic Fuel Injection,Gas V8 6.4L/392,5,5-Speed Automatic,RWD,Gasoline Fuel,14,23,5,0,392
2C3CDXGJ1CH270223,2012,Dodge,Charger,4dr Car,SRT8 Super Bee,LDDR48,4,Stinger Yellow,Black Interior,8,6.4L,Automatic,23,45580,45580,42866,44128,41054,,76504,Yellow,Black,,V,Electronic Fuel Injection,Gas V8 6.4L/392,5,5-Speed Automatic,RWD,Gasoline Fuel,14,23,5,FBC104,392
2C3CDXGJ6DH617000,2013,Dodge,Charger,4dr Car,SRT8 Super Bee,LDDR48,4,Bright White,Black Interior,8,6.4L,Automatic,31,47830,47830,44787,46116,41355,,76504,White,Black,,V,Electronic Fuel Injection,Gas V8 6.4L/392,5,5-Speed Automatic,RWD,Gasoline Fuel,14,23,5,FFFFFF,392
2C3CDXEJ9DH586750,2013,Dodge,Charger,4dr Car,SRT8,LDDX48,4,Pitch Black,Black Interior,8,6.4L,Automatic,5,52310,52310,48768,50187,41241,,77037,Black,Black,,V,Electronic Fuel Injection,Gas V8 6.4L/392,5,5-Speed Automatic,RWD,Gasoline Fuel,,,5,0,392
2C3CDXEJ4DH560508,2013,Dodge,Charger,4dr Car,SRT8,LDDX48,4,Granite Crystal Metallic,Black Interior,8,6.4L,Automatic,15,51520,51520,48043,49483,41255,,76504,Gray,Black,,V,Electronic Fuel Injection,Gas V8 6.4L/392,5,5-Speed Automatic,RWD,Gasoline Fuel,,,5,626262,392
WDDGF7HB8DA832199,2013,Mercedes-Benz,C-Class,4dr Car,C63 AMG,C63,4,Black,2221/Black,8,6.3L,Automatic,6,80135,80135,0,75404,41320,,91007,Black,Black,,V,Electronic Fuel Injection,Gas V8 6.3L/379,7,7-Speed Automatic,RWD,Gasoline Fuel,15,22,5,0,379
WDDGJ7HB1DG072418,2013,Mercedes-Benz,C-Class,2dr Car,C63 AMG,C63C,2,Black,2221/Black,8,6.3L,Automatic,0,73105,73105,0,68868,41382,,91007,Black,Black,,V,Electronic Fuel Injection,Gas V8 6.3L/379,7,7-Speed Automatic,RWD,Gasoline Fuel,15,22,5,0,379
WDDRK7JA4DA009937,2013,Mercedes-Benz,SLS AMG GT,Convertible,SLS AMG GT,SLSGTR,2,22755/Steel Gra,2511/Black/Red,8,6.3L,Automatic,34,211305,211305,0,197424,41369,,91007,Gray,Black,,V,,Gas V8 6.3L/379,7,7-Speed Automatic,RWD,Gasoline Fuel,14,20,2,,379
